Solver,Benchmark,Result
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsle_bvlshr1_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvslt_bvudiv0_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_eq_bvlshr1_4bit.sl,UNSOLVED
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvugt_bvnot_4bit.sl,SUCCESS
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsle_bvshl1_4bit.sl,UNSOLVED
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsgt_bvand_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvslt_bvurem0_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsle_bvashr0_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsle_bvmul_4bit.sl,UNSOLVED
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvsge_bvshl0_4bit.sl,FAIL-SYNTAX
cvc4-syguscomp2019___v1_GENERAL-auto/,/space/ajreynol/sygus-standard/benchmarks/comp/2019//General_Track/./bv-conditional-inverses/find_inv_bvugt_bvurem0_4bit.sl,SUCCESS
