Solver,Benchmark,Result,Time,Exprs
DryadSynth___CLIA-Track/,./from_2018/max20.sl,FAIL-SEMANTIC,0.78,1201
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_sum_6_5.sl,SUCCESS,0.61,792
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_polynomial1.sl,SUCCESS,0.50,4
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_sum_6_15.sl,SUCCESS,0.59,792
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_search_6.sl,SUCCESS,0.71,910
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_mpg_example3.sl,SUCCESS,0.58,347
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_mpg_plane3.sl,SUCCESS,0.52,8
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_max5.sl,SUCCESS,0.52,76
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_sum_9_15.sl,SUCCESS,0.72,2580
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_search_11.sl,SUCCESS,0.80,4855
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_max4.sl,SUCCESS,0.52,49
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_mpg_plane1.sl,SUCCESS,2.25,3
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_polynomial.sl,SUCCESS,0.49,2
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_search_8.sl,SUCCESS,0.70,1996
DryadSynth___CLIA-Track/,./from_2018/large.sl,SUCCESS,0.52,46
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_max14.sl,SUCCESS,0.65,589
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_mpg_example5.sl,SUCCESS,0.62,693
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_max3.sl,SUCCESS,0.50,28
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_mpg_guard1.sl,SUCCESS,0.54,39
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_max7.sl,SUCCESS,0.55,148
DryadSynth___CLIA-Track/,./from_2018/arraysearch17.sl,SUCCESS,1.14,16783
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_sixfuncs.sl,SUCCESS,0.55,10
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_sum_8_5.sl,SUCCESS,0.68,1832
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_sum_4_15.sl,SUCCESS,0.57,240
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_sum_5_15.sl,SUCCESS,0.57,464
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_max13.sl,SUCCESS,0.65,508
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_search_12.sl,SUCCESS,0.83,6208
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_search_2.sl,SUCCESS,0.51,58
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_search_14.sl,SUCCESS,0.95,9622
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_max2.sl,SUCCESS,0.50,11
DryadSynth___CLIA-Track/,./from_2018/max17.sl,SUCCESS,1.25,868
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_tenfunc2.sl,SUCCESS,0.65,30
DryadSynth___CLIA-Track/,./from_2018/diff.sl,SUCCESS,0.49,14
