Solver,Benchmark,Result,Time,Exprs
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_2.20.sl,SUCCESS,0.36,129
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_51_100.sl,SUCCESS,0.11,21
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_78_10.sl,SUCCESS,0.04,26
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_56_1000.sl,SUCCESS,5.07,78
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_5.5.sl,SUCCESS,0.38,143
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_1_10.sl,SUCCESS,0.10,12
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_81_100.sl,SUCCESS,0.11,49
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_12.4.sl,SUCCESS,1.42,65
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_2_1000.sl,SUCCESS,40.35,15
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_12.13.sl,SUCCESS,0.31,137
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_71_100.sl,SUCCESS,32.07,417
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_100_100.sl,SUCCESS,0.09,14
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_130_100.sl,SUCCESS,0.45,33
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_85_1000.sl,SUCCESS,0.58,9
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_7.19.sl,SUCCESS,0.06,36
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_36_1000.sl,SUCCESS,15.91,16
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_2.6.sl,SUCCESS,0.31,120
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_10.7.sl,SUCCESS,0.33,67
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_11.18.sl,SUCCESS,0.26,98
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_97_10.sl,SUCCESS,0.09,17
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_10.16.sl,SUCCESS,0.31,73
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_65_100.sl,SUCCESS,0.72,63
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_45_100.sl,SUCCESS,0.05,8
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_114_100.sl,SUCCESS,0.69,19
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_12_1000.sl,SUCCESS,10.63,894
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_124_100.sl,SUCCESS,0.64,268
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/if0_70_1000.sl,SUCCESS,0.78,15
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_15.5.sl,SUCCESS,0.23,30
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_119_100.sl,SUCCESS,0.35,14
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_7.14.sl,SUCCESS,17.98,64
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_63_1000.sl,SUCCESS,0.82,12
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_2.9.sl,SUCCESS,0.05,19
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_52_100.sl,SUCCESS,0.10,16
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_54_10.sl,SUCCESS,0.07,11
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_1.10.sl,SUCCESS,0.57,51
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_9.13.sl,SUCCESS,0.05,48
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_31_1000.sl,SUCCESS,1.03,12
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_1.12.sl,SUCCESS,0.44,65
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_40_1000.sl,SUCCESS,189.17,5737
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_1.15.sl,SUCCESS,0.30,153
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_140_100.sl,SUCCESS,0.72,354
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_38_1000.sl,SUCCESS,0.94,26
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_13.14.sl,SUCCESS,0.11,32
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_12.12.sl,SUCCESS,0.06,25
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_137_1000.sl,SUCCESS,0.95,13
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_7.10.sl,SUCCESS,0.26,42
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_52_10.sl,SUCCESS,0.03,17
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_16_10.sl,SUCCESS,0.07,24
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_122_1000.sl,SUCCESS,3.00,12
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_104_100.sl,SUCCESS,0.09,14
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_69_10.sl,SUCCESS,0.03,10
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_46_100.sl,SUCCESS,0.22,10
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_15_10.sl,SUCCESS,0.13,37
